,index,Unnamed: 0,category_id,cname,pcname,pname,chain_id
0,60547,0,665,CONSERVES DE PATES,CONSERVES DE VIANDE,Henaff pâté de porc 78g,10.0
1,60548,1,665,CONSERVES DE PATES,CONSERVES DE VIANDE,Hénaff - Le Pâté Hénaff,7.0
2,60549,2,665,CONSERVES DE PATES,CONSERVES DE VIANDE,Pâté de porc au sel de guérande HENAFF,11.0
3,60550,3,665,CONSERVES DE PATES,CONSERVES DE VIANDE,Pâté Hénaff Filets et jambons - 78g,12.0
4,60551,4,665,CONSERVES DE PATES,CONSERVES DE VIANDE,Pâté de porc,4.0
5,60552,5,665,CONSERVES DE PATES,CONSERVES DE VIANDE,Pâté de porc,16.0
6,60553,6,665,CONSERVES DE PATES,CONSERVES DE VIANDE,"Pâté pur porc HENAFF, 78g",8.0
7,60554,9,665,CONSERVES DE PATES,CONSERVES DE VIANDE,"Pâté de foie HENAFF, 78g",8.0
8,60555,10,665,CONSERVES DE PATES,CONSERVES DE VIANDE,"Pâté de campagne HENAFF, 78g",8.0
9,60556,11,665,CONSERVES DE PATES,CONSERVES DE VIANDE,"Rillettes Bretonnes HENAFF, 78g",8.0
10,60557,12,447,LEVURES ET SUCRES AROMATISES,SUCRES ET EPICERIE PATISSERIE,Levure boulangère Fala 42g,12.0
11,60558,13,447,LEVURES ET SUCRES AROMATISES,SUCRES ET EPICERIE PATISSERIE,"Levure fraîche de boulanger FALA, 42g",8.0
12,60559,14,447,LEVURES ET SUCRES AROMATISES,SUCRES ET EPICERIE PATISSERIE,Cube de levure FALA 42g,8.0
13,60560,17,459,FROMAGES DE CHEVRE ET BREBIS,CHEESE,Sélectionné par votre magasin - Fromage Le Petit Trôo,7.0
14,60561,18,459,FROMAGES DE CHEVRE ET BREBIS,CHEESE,Fromage Le Petit Trôo,11.0
15,60562,19,459,FROMAGES DE CHEVRE ET BREBIS,CHEESE,PETIT TROO AFFINE 150G,8.0
16,60563,20,459,FROMAGES DE CHEVRE ET BREBIS,CHEESE,PETIT TROO 20%MG 150G,8.0
17,60564,21,459,FROMAGES DE CHEVRE ET BREBIS,CHEESE,LE PETIT TROO,8.0
18,60565,22,459,FROMAGES DE CHEVRE ET BREBIS,CHEESE,"Le petit Trôo, au lait pasteurisé de vache, 20%mg, 150g",8.0
19,60566,23,461,"FROMAGES A TARTINER, ENFANTS",CHEESE,SOCIETE Société Crème de fromage fondu de brebis 100g 100g,10.0
20,60567,24,461,"FROMAGES A TARTINER, ENFANTS",CHEESE,Fromage Société Crème 5x20g,12.0
21,60568,25,461,"FROMAGES A TARTINER, ENFANTS",CHEESE,Société - Crème de fromage,7.0
22,60569,26,461,"FROMAGES A TARTINER, ENFANTS",CHEESE,Société crème - 23% mg,4.0
23,60570,27,461,"FROMAGES A TARTINER, ENFANTS",CHEESE,Fromage de brebis crème à tartiner SOCIETE,11.0
24,60571,28,461,"FROMAGES A TARTINER, ENFANTS",CHEESE,Crème de fromage fondu de brebis,16.0
25,60572,29,461,"FROMAGES A TARTINER, ENFANTS",CHEESE,"Fromage fondu au lait pasteurisé de brebis SOCIETE, 23%mg, 100g",8.0
26,60573,30,461,"FROMAGES A TARTINER, ENFANTS",CHEESE,"Fromage fondu au lait pasteurisé de brebis, SOCIETE, 23% de MG pot de100g",8.0
27,60574,32,461,"FROMAGES A TARTINER, ENFANTS",CHEESE,SOCIETE Crème de fromage fondu de brebis 100g,10.0
28,60575,33,461,"FROMAGES A TARTINER, ENFANTS",CHEESE,Société Crème de roquefort allégée portions 5x20g,10.0
29,60576,34,461,"FROMAGES A TARTINER, ENFANTS",CHEESE,Fromage Léger et Fondant,7.0
30,60577,35,461,"FROMAGES A TARTINER, ENFANTS",CHEESE,Fromage Société Crème Léger - 5x20g,12.0
31,60578,36,461,"FROMAGES A TARTINER, ENFANTS",CHEESE,Fromage de brebis à tartiner léger SOCIETE,11.0
32,60579,37,461,"FROMAGES A TARTINER, ENFANTS",CHEESE,Léger et fondant - Crème de fromage,4.0
33,60580,38,461,"FROMAGES A TARTINER, ENFANTS",CHEESE,"Crème de roquefort au lait de brebis pasteurisé SOCIETE Crème, 11%MG,100g",8.0
34,60581,39,461,"FROMAGES A TARTINER, ENFANTS",CHEESE,SOCIETE Crème de roquefort allégée 5 portions 100g,10.0
